"","line","root","cell_type","value"
"1","ABRE_ABI1",1,"columella",5.98354932488607
"2","ABRE_ABI1",1,"columella",5.32018941906174
"3","ABRE_ABI1",1,"columella",5.71653653260458
"4","ABRE_ABI1",1,"columella",5.92990836215095
"5","ABRE_ABI1",1,"columella",2.1929212916042
"6","ABRE_ABI1",1,"columella",2.71204660874075
"7","ABRE_ABI1",1,"columella",2.25967448967457
"8","ABRE_ABI1",1,"columella",5.40005485246737
"9","ABRE_ABI1",1,"columella",2.1887492167248
"10","ABRE_ABI1",1,"columella",0.537799585877187
"11","ABRE_ABI1",1,"columella",0.601572730462275
"12","ABRE_ABI1",1,"columella",0.339924034454296
"13","ABRE_ABI1",1,"columella",0.687994281535525
"14","ABRE_ABI1",1,"columella",2.41106120672702
"15","ABRE_ABI1",1,"columella",0.20462960622238
"16","ABRE_ABI1",1,"columella",0.246350355016363
"17","ABRE_ABI1",1,"columella",0.193901413675356
"18","ABRE_ABI1",1,"columella",0.255886526169274
"19","ABRE_ABI1",1,"columella",1.5927385196679
"20","ABRE_ABI1",1,"columella",1.05692490301375
"21","ABRE_ABI1",1,"columella",1.54922973878274
"22","ABRE_ABI1",1,"columella",1.43121962076548
"23","ABRE_ABI1",1,"cortex",1.47472840165063
"24","ABRE_ABI1",1,"cortex",0.857261319499685
"25","ABRE_ABI1",1,"cortex",0.68322619595907
"26","ABRE_ABI1",1,"cortex",0.94845095614939
"27","ABRE_ABI1",1,"cortex",0.661173800167965
"28","ABRE_ABI1",1,"cortex",0.213569766678234
"29","ABRE_ABI1",1,"cortex",0.186153274613616
"30","ABRE_ABI1",1,"cortex",0.0353625682582209
"31","ABRE_ABI1",1,"cortex",0.0788713491433746
"32","ABRE_ABI1",1,"cortex",0.0150982045582864
"33","ABRE_ABI1",1,"cortex",0.016886236649457
"34","ABRE_ABI1",1,"cortex",-0.120792234370687
"35","ABRE_ABI1",1,"cortex",-0.178605271985206
"36","ABRE_ABI1",1,"cortex",-0.226882138446815
"37","ABRE_ABI1",1,"cortex",-0.234630277508554
"38","ABRE_ABI1",1,"cortex",-0.29125129372896
"39","ABRE_ABI1",1,"cortex",-0.234630277508554
"40","ABRE_ABI1",1,"cortex",-0.292443315123073
"41","ABRE_ABI1",1,"cortex",-0.282907143970163
"42","ABRE_ABI1",1,"cortex",-0.341316192281739
"43","ABRE_ABI1",1,"cortex",-0.332376031825886
"44","ABRE_ABI1",1,"cortex",-0.324031882067089
"45","ABRE_ABI1",1,"cortex",-0.386613005258063
"46","ABRE_ABI1",1,"cortex",-0.329991989037658
"47","ABRE_ABI1",1,"cortex",-0.35264039552582
"48","ABRE_ABI1",1,"cortex",-0.410453433140339
"49","ABRE_ABI1",1,"cortex",-0.35085236343465
"50","ABRE_ABI1",1,"cortex",-0.427141732657933
"51","ABRE_ABI1",1,"cortex",-0.412837475928567
"52","ABRE_ABI1",1,"cortex",-0.425353700566762
"53","ABRE_ABI1",1,"cortex",-0.441445989387298
"54","ABRE_ABI1",1,"cortex",-0.436677903810843
"55","ABRE_ABI1",1,"cortex",-0.441445989387298
"56","ABRE_ABI1",1,"cortex",-0.394361144319803
"57","ABRE_ABI1",1,"cortex",-0.430121786143217
"58","ABRE_ABI1",1,"cortex",-0.441445989387298
"59","ABRE_ABI1",1,"cortex",-0.430717796840274
"60","ABRE_ABI1",1,"cortex",-0.436081893113786
"61","ABRE_ABI1",1,"cortex",-0.45455822472255
"62","ABRE_ABI1",1,"cortex",-0.443234021478469
"63","ABRE_ABI1",1,"cortex",-0.465882427966631
"64","ABRE_ABI1",1,"cortex",-0.436677903810843
"65","ABRE_ABI1",1,"cortex",-0.521907433489979
"66","ABRE_ABI1",1,"cortex",-0.453366203328436
"67","ABRE_ABI1",1,"cortex",-0.467670460057802
"68","ABRE_ABI1",1,"cortex",-0.517735358610581
"69","ABRE_ABI1",1,"cortex",-0.544555839978142
"70","ABRE_ABI1",1,"cortex",-0.474226577725428
"71","ABRE_ABI1",1,"cortex",-0.456346256813721
"72","ABRE_ABI1",1,"cortex",-0.48137870609011
"73","ABRE_ABI1",1,"cortex",-0.520715412095866
"74","ABRE_ABI1",1,"cortex",-0.478994663301883
"75","ABRE_ABI1",1,"cortex",-0.515351315822354
"76","ABRE_ABI1",1,"cortex",-0.490914877243021
"77","ABRE_ABI1",1,"cortex",-0.530847593945833
"78","ABRE_ABI1",1,"cortex",-0.518927380004695
"79","ABRE_ABI1",1,"cortex",-0.552899989736938
"80","ABRE_ABI1",1,"cortex",-0.524291476278207
"81","ABRE_ABI1",1,"cortex",-0.551707968342824
"82","ABRE_ABI1",1,"cortex",-0.530251583248776
"83","ABRE_ABI1",1,"cortex",-0.557668075313393
"84","ABRE_ABI1",1,"cortex",-0.589852652954466
"85","ABRE_ABI1",1,"cortex",-0.504027112578272
